Customer ID,Transaction Date,Transaction Amount,Category,Region
CUST029,01/03/2022,380.79,Clothing,East
CUST007,01/06/2022,951.21,Books,South
CUST071,01/06/2022,734.67,Health,North
CUST063,01/12/2022,602.67,Home,West
CUST058,1/13/2022,164.46,Health,East
CUST036,1/20/2022,164.43,Home,North
CUST027,1/21/2022,67.5,Home,East
CUST140,1/26/2022,867.51,Electronics,East
CUST023,1/26/2022,605.1,Books,South
CUST109,1/29/2022,710.99,Home,South
CUST009,1/29/2022,30.38,Electronics,East
CUST008,02/01/2022,970.21,Health,West
CUST024,02/05/2022,834.12,Electronics,South
CUST056,02/09/2022,220.22,Health,South
CUST060,02/10/2022,190.01,Books,South
CUST130,02/11/2022,191.57,Home,South
CUST007,02/12/2022,311.2,Clothing,North
CUST144,2/22/2022,529.51,Health,East
CUST051,2/22/2022,437.63,Home,North
CUST140,2/25/2022,298.32,Clothing,North
CUST108,2/25/2022,615.73,Clothing,East
CUST057,2/28/2022,148.1,Health,South
CUST115,03/01/2022,299.22,Home,West
CUST072,03/01/2022,372.7,Clothing,South
CUST002,03/01/2022,461.51,Electronics,South
CUST041,03/05/2022,787.32,Electronics,South
CUST109,03/08/2022,207.68,Home,South
CUST088,3/15/2022,519.09,Books,West
CUST072,3/17/2022,596.49,Electronics,North
CUST040,3/17/2022,55.99,Health,West
CUST056,3/23/2022,611.47,Home,East
CUST087,3/24/2022,178.82,Clothing,South
CUST027,3/24/2022,74.4,Electronics,West
CUST024,3/26/2022,949.4,Home,East
CUST098,3/31/2022,965.98,Home,West
CUST025,04/04/2022,810.31,Books,South
CUST092,04/05/2022,311.57,Clothing,South
CUST089,4/13/2022,106.7,Clothing,East
CUST068,4/13/2022,687.39,Clothing,West
CUST012,4/16/2022,445.75,Health,South
CUST118,4/16/2022,130.82,Home,East
CUST138,4/17/2022,500.23,Health,West
CUST032,4/20/2022,44.04,Health,West
CUST097,4/22/2022,910.23,Home,East
CUST021,4/22/2022,266.19,Clothing,West
CUST142,4/25/2022,665.9,Home,West
CUST076,05/03/2022,318.59,Books,South
CUST093,05/04/2022,524.87,Home,South
CUST148,05/08/2022,551.24,Home,South
CUST050,05/12/2022,193.01,Electronics,East
CUST018,5/14/2022,969.89,Books,North
CUST012,5/21/2022,777.38,Electronics,West
CUST059,5/21/2022,940.1,Clothing,East
CUST075,5/22/2022,895.88,Clothing,North
CUST021,5/23/2022,601.92,Books,North
CUST060,5/26/2022,922.66,Health,East
CUST026,5/27/2022,97.61,Home,North
CUST098,06/01/2022,204.02,Electronics,South
CUST072,06/01/2022,54.78,Books,East
CUST117,06/03/2022,332.08,Electronics,West
CUST094,06/03/2022,394.79,Home,South
CUST042,06/05/2022,278.64,Health,West
CUST095,06/08/2022,830.45,Electronics,North
CUST091,06/11/2022,363.19,Books,South
CUST054,6/14/2022,288.13,Home,West
CUST069,6/14/2022,547.27,Home,East
CUST019,6/15/2022,149.51,Health,North
CUST044,6/16/2022,804.18,Books,West
CUST137,6/17/2022,83.81,Home,North
CUST063,6/21/2022,987.02,Electronics,West
CUST042,6/24/2022,774.52,Clothing,East
CUST119,6/25/2022,206.73,Books,South
CUST098,6/27/2022,15.47,Electronics,West
CUST070,6/30/2022,817.31,Health,North
CUST143,07/05/2022,709.79,Health,East
CUST057,07/06/2022,731.72,Home,South
CUST084,07/07/2022,773.56,Health,North
CUST015,07/10/2022,83.3,Clothing,East
CUST059,07/10/2022,364.88,Electronics,North
CUST009,7/21/2022,124.71,Books,East
CUST081,7/23/2022,864.47,Home,South
CUST103,7/24/2022,627.07,Books,South
CUST069,7/25/2022,337.59,Electronics,North
CUST017,7/25/2022,72.92,Clothing,East
CUST055,7/25/2022,317.87,Electronics,West
CUST146,7/28/2022,331.93,Electronics,South
CUST081,7/30/2022,732.31,Home,West
CUST055,08/03/2022,641.18,Books,West
CUST128,08/05/2022,888.34,Electronics,North
CUST102,08/07/2022,477.49,Electronics,North
CUST118,08/07/2022,128.4,Clothing,North
CUST037,08/10/2022,716.11,Health,East
CUST068,8/21/2022,763.18,Clothing,South
CUST036,8/22/2022,565.66,Books,South
CUST064,8/23/2022,773.26,Books,West
CUST144,8/23/2022,498.86,Home,North
CUST138,8/24/2022,527.51,Health,East
CUST068,8/26/2022,433.27,Books,South
CUST150,8/29/2022,35.16,Health,East
CUST110,8/31/2022,116.81,Clothing,North
CUST150,09/02/2022,41.11,Books,North
CUST103,09/05/2022,640.05,Electronics,South
CUST093,09/05/2022,321.21,Books,West
CUST057,09/06/2022,513.48,Health,West
CUST036,09/06/2022,908.49,Books,North
CUST131,09/12/2022,256.8,Home,North
CUST127,9/16/2022,416.28,Electronics,West
CUST024,9/16/2022,758,Home,North
CUST013,9/16/2022,236.51,Clothing,South
CUST029,9/17/2022,86.21,Books,South
CUST040,9/19/2022,296.85,Books,East
CUST041,9/26/2022,169.61,Clothing,West
CUST109,10/01/2022,930.4,Home,North
CUST017,10/05/2022,810.04,Electronics,East
CUST099,10/07/2022,637.07,Home,South
CUST098,10/11/2022,872.75,Health,West
CUST120,10/19/2022,805.64,Home,South
CUST136,10/21/2022,194.7,Electronics,North
CUST065,10/23/2022,893.63,Books,East
CUST142,10/24/2022,543.95,Home,North
CUST003,10/26/2022,809.37,Clothing,North
CUST030,11/01/2022,897.13,Electronics,West
CUST138,11/02/2022,324.82,Books,West
CUST069,11/02/2022,118.95,Electronics,North
CUST088,11/05/2022,235.66,Clothing,West
CUST029,11/07/2022,432.84,Health,East
CUST076,11/08/2022,819.83,Electronics,East
CUST112,11/09/2022,862.12,Electronics,North
CUST041,11/09/2022,16.88,Home,East
CUST117,11/10/2022,515.64,Clothing,North
CUST001,11/12/2022,423.24,Clothing,East
CUST068,11/13/2022,229.89,Health,South
CUST129,11/17/2022,128.67,Clothing,North
CUST046,11/18/2022,344.24,Electronics,East
CUST130,11/20/2022,943.48,Health,South
CUST028,11/21/2022,329.97,Clothing,North
CUST077,11/22/2022,523.6,Health,East
CUST130,11/26/2022,705.99,Clothing,East
CUST051,12/02/2022,369.99,Clothing,South
CUST040,12/05/2022,972.06,Home,West
CUST096,12/06/2022,962.82,Clothing,West
CUST042,12/07/2022,259.26,Health,South
CUST139,12/10/2022,502.28,Electronics,South
CUST136,12/15/2022,307.87,Home,North
CUST001,12/22/2022,291.99,Clothing,West
CUST083,12/25/2022,46.52,Clothing,North
CUST126,12/25/2022,613.47,Health,East
CUST005,12/27/2022,507.65,Home,South
CUST029,12/27/2022,60.96,Clothing,North
CUST093,01/03/2023,285.86,Electronics,South
CUST079,01/04/2023,909.18,Electronics,North
CUST062,01/07/2023,247.17,Clothing,East
CUST015,01/08/2023,153.45,Electronics,East
CUST062,01/08/2023,494.56,Home,West
CUST146,1/13/2023,985.79,Clothing,West
CUST021,1/15/2023,249.63,Health,East
CUST022,1/20/2023,675.41,Home,North
CUST125,1/22/2023,764,Electronics,South
CUST018,1/26/2023,245.26,Clothing,East
CUST137,1/27/2023,730.93,Home,East
CUST033,1/28/2023,374.11,Electronics,North
CUST033,1/30/2023,635.98,Clothing,East
CUST122,02/02/2023,637.19,Books,East
CUST141,02/10/2023,540.42,Health,North
CUST043,02/11/2023,99.39,Electronics,East
CUST068,02/12/2023,836.95,Electronics,West
CUST136,2/13/2023,327.57,Books,West
CUST109,2/21/2023,194.65,Books,West
CUST055,2/28/2023,50.37,Home,West
CUST139,03/02/2023,594.98,Health,East
CUST052,03/09/2023,680.79,Health,South
CUST080,03/10/2023,26.42,Electronics,West
CUST103,03/11/2023,516.97,Books,West
CUST096,3/15/2023,234.23,Health,East
CUST113,3/20/2023,648.72,Clothing,East
CUST133,3/23/2023,182.62,Health,North
CUST116,3/25/2023,694.03,Electronics,West
CUST031,3/26/2023,392.87,Health,North
CUST064,3/28/2023,937.36,Home,West
CUST058,3/30/2023,146.15,Books,South
CUST017,04/05/2023,347.66,Electronics,East
CUST087,04/06/2023,122.34,Electronics,East
CUST006,04/06/2023,925.45,Books,North
CUST142,04/08/2023,878.57,Books,North
CUST059,04/11/2023,265.36,Books,East
CUST057,04/11/2023,663.38,Electronics,East
CUST002,4/14/2023,819.05,Books,East
CUST019,4/18/2023,559.65,Books,West
CUST016,4/19/2023,534.35,Electronics,West
CUST059,4/20/2023,249.43,Electronics,South
CUST018,4/21/2023,102.17,Home,West
CUST009,4/24/2023,898.24,Health,East
CUST085,4/24/2023,901.41,Clothing,West
CUST019,4/26/2023,636.77,Electronics,North
CUST132,4/26/2023,345.64,Clothing,East
CUST061,05/04/2023,355.72,Home,West
CUST072,05/05/2023,728.7,Health,East
CUST125,05/05/2023,898.14,Health,North
CUST055,05/06/2023,888.22,Health,North
CUST139,05/07/2023,782.08,Home,West
CUST034,05/08/2023,645.61,Books,East
CUST147,05/09/2023,93.3,Health,South
CUST148,05/10/2023,170.01,Health,North
CUST122,5/13/2023,899.57,Home,South
CUST063,5/14/2023,610.36,Books,West
CUST122,5/15/2023,19.11,Health,North
CUST105,5/15/2023,110.46,Health,South
CUST049,5/16/2023,666.87,Books,North
CUST025,5/18/2023,15.01,Electronics,South
CUST025,5/22/2023,169.2,Electronics,East
CUST111,5/22/2023,553.25,Health,East
CUST091,5/24/2023,694.98,Clothing,West
CUST109,5/26/2023,655.44,Books,North
CUST106,5/28/2023,232.03,Books,South
CUST120,5/28/2023,715.06,Clothing,West
CUST014,5/30/2023,244.88,Books,East
CUST026,06/01/2023,332.15,Home,East
CUST016,06/01/2023,749.03,Books,West
CUST104,06/02/2023,653.14,Books,North
CUST087,06/05/2023,850.73,Books,South
CUST028,06/07/2023,661.04,Electronics,East
CUST064,06/09/2023,572.63,Home,West
CUST050,6/14/2023,102.74,Books,East
CUST049,6/15/2023,374.04,Home,East
CUST138,6/17/2023,272.55,Home,South
CUST115,6/26/2023,251.55,Home,North
CUST036,6/26/2023,973.28,Clothing,North
CUST109,6/27/2023,399.17,Books,South
CUST047,6/29/2023,893.13,Electronics,West
CUST072,07/01/2023,634.83,Electronics,West
CUST119,07/02/2023,796.86,Electronics,North
CUST064,07/04/2023,507.61,Electronics,East
CUST020,07/06/2023,581.13,Books,East
CUST114,07/08/2023,497.59,Electronics,West
CUST141,07/09/2023,203.29,Home,South
CUST026,07/11/2023,725.23,Clothing,East
CUST013,07/12/2023,287.96,Health,West
CUST139,7/13/2023,34.07,Electronics,South
CUST004,7/14/2023,649.02,Health,North
CUST024,7/16/2023,185.34,Health,South
CUST061,7/17/2023,941.05,Health,North
CUST043,7/20/2023,954.39,Home,West
CUST105,7/20/2023,915.72,Electronics,South
CUST125,7/21/2023,376.46,Books,West
CUST124,7/22/2023,25.3,Home,North
CUST055,7/24/2023,929.04,Books,East
CUST103,7/24/2023,433.9,Electronics,East
CUST016,7/26/2023,966.99,Home,North
CUST043,7/27/2023,963.98,Health,East
CUST098,08/03/2023,854.48,Home,East
CUST001,08/03/2023,301.5,Home,South
CUST100,08/03/2023,391.25,Electronics,South
CUST068,08/06/2023,852.63,Health,East
CUST117,08/09/2023,323.75,Health,South
CUST074,08/12/2023,177.8,Clothing,North
CUST109,8/13/2023,561.23,Clothing,South
CUST143,8/13/2023,936.79,Books,South
CUST125,8/14/2023,699.07,Clothing,South
CUST040,8/14/2023,574.36,Electronics,West
CUST049,8/15/2023,106.2,Home,North
CUST076,8/20/2023,618.86,Health,East
CUST056,8/21/2023,990.15,Home,East
CUST015,8/22/2023,148.68,Electronics,West
CUST149,8/24/2023,523.15,Home,South
CUST139,8/26/2023,878.6,Health,North
CUST016,8/30/2023,743.36,Clothing,North
CUST081,09/01/2023,700.05,Books,East
CUST015,09/04/2023,705.46,Health,West
CUST013,09/04/2023,365.9,Health,West
CUST150,09/05/2023,300.66,Health,West
CUST123,09/06/2023,811.27,Health,West
CUST129,09/10/2023,812.01,Electronics,North
CUST136,09/11/2023,868.4,Health,South
CUST041,09/12/2023,914.11,Home,East
CUST015,9/15/2023,516.23,Electronics,North
CUST131,9/15/2023,506.5,Clothing,West
CUST021,9/18/2023,800.31,Home,West
CUST048,9/20/2023,653.46,Home,East
CUST018,9/20/2023,704.95,Home,South
CUST018,9/22/2023,797.83,Home,South
CUST061,9/29/2023,891.11,Electronics,South
CUST104,9/30/2023,344.62,Clothing,West
CUST031,10/01/2023,381.83,Clothing,North
CUST146,10/07/2023,103.04,Health,North
CUST064,10/09/2023,582.5,Books,South
CUST149,10/11/2023,45.58,Electronics,East
CUST011,10/12/2023,470.94,Clothing,South
CUST021,10/14/2023,547.22,Electronics,South
CUST108,10/17/2023,293.68,Electronics,East
CUST150,10/20/2023,594.92,Health,South
CUST145,10/22/2023,40.2,Clothing,East
CUST134,10/23/2023,46.97,Books,East
CUST081,10/23/2023,824.37,Books,North
CUST067,10/25/2023,366.59,Books,East
CUST053,10/27/2023,135.79,Home,South
CUST081,10/28/2023,527.02,Clothing,East
CUST062,11/01/2023,772.29,Home,South
CUST068,11/02/2023,223.66,Home,East
CUST102,11/04/2023,626.66,Home,North
CUST034,11/07/2023,94.49,Health,South
CUST077,11/09/2023,61.16,Health,South
CUST118,11/09/2023,536.04,Electronics,South
CUST081,11/11/2023,545.23,Electronics,East
CUST019,11/12/2023,641.06,Clothing,North
CUST003,11/14/2023,728.83,Clothing,North
CUST118,11/19/2023,976.09,Health,North
CUST145,11/20/2023,521.14,Electronics,North
CUST026,11/20/2023,329.73,Electronics,East
CUST019,11/23/2023,797.23,Home,South
CUST138,11/25/2023,278.12,Books,West
CUST055,11/28/2023,444.58,Books,North
CUST130,11/29/2023,87.67,Books,West
CUST068,11/29/2023,35.1,Health,East
CUST034,11/30/2023,963.02,Books,East
CUST090,12/06/2023,837.62,Books,West
CUST018,12/08/2023,699.01,Home,South
CUST063,12/09/2023,414.86,Clothing,West
CUST095,12/13/2023,181.56,Health,East
CUST073,12/14/2023,164.87,Electronics,West
CUST041,12/18/2023,257.74,Home,North
CUST113,12/22/2023,553.73,Books,North
CUST140,12/22/2023,717.45,Electronics,South
CUST078,12/28/2023,663.6,Home,West
CUST136,01/05/2024,287.13,Health,West
CUST003,01/10/2024,955.32,Books,West
CUST142,01/11/2024,740.52,Health,West
CUST077,01/12/2024,558.81,Home,South
CUST027,1/26/2024,615.6,Electronics,East
CUST035,1/26/2024,425.4,Clothing,South
CUST068,1/29/2024,255.25,Books,East
CUST030,02/07/2024,362.41,Health,East
CUST028,02/08/2024,760.27,Electronics,East
CUST142,02/12/2024,24.25,Electronics,West
CUST040,2/16/2024,124.91,Clothing,South
CUST070,2/16/2024,55.54,Home,East
CUST073,2/16/2024,50.32,Clothing,North
CUST054,2/18/2024,856.91,Clothing,East
CUST088,2/19/2024,706.62,Home,South
CUST053,2/19/2024,479.43,Home,West
CUST068,2/20/2024,106.86,Home,North
CUST130,2/23/2024,496.7,Electronics,East
CUST126,2/24/2024,478.74,Electronics,West
CUST065,2/24/2024,181.47,Books,South
CUST014,2/25/2024,439.51,Books,South
CUST024,2/27/2024,404.52,Clothing,North
CUST109,03/01/2024,619.69,Clothing,North
CUST071,03/07/2024,638.74,Books,East
CUST012,03/08/2024,54.85,Health,West
CUST001,03/09/2024,380.87,Clothing,West
CUST086,3/17/2024,629.6,Health,South
CUST034,3/23/2024,508.1,Health,South
CUST068,3/25/2024,857.92,Home,East
CUST042,3/31/2024,662.11,Electronics,East
CUST114,3/31/2024,171.31,Books,South
CUST142,04/04/2024,79.86,Electronics,South
CUST110,04/07/2024,646,Books,West
CUST144,04/08/2024,36.25,Electronics,West
CUST003,04/08/2024,589.92,Books,West
CUST029,04/12/2024,940.83,Electronics,East
CUST020,4/14/2024,579.72,Home,West
CUST039,4/15/2024,394.29,Health,North
CUST140,4/16/2024,646.86,Books,North
CUST010,4/16/2024,463.67,Health,West
CUST095,4/19/2024,550.16,Books,West
CUST150,4/21/2024,942.05,Books,South
CUST142,4/23/2024,392.24,Home,South
CUST038,4/23/2024,961.58,Electronics,East
CUST111,4/26/2024,906.3,Books,North
CUST033,4/29/2024,203.83,Electronics,North
CUST011,4/29/2024,78.67,Home,East
CUST079,4/30/2024,109.77,Clothing,West
CUST094,05/01/2024,28.04,Health,West
CUST011,05/02/2024,103.5,Books,East
CUST092,05/08/2024,686.18,Home,North
CUST054,05/10/2024,80.48,Electronics,North
CUST064,05/10/2024,325.79,Books,West
CUST027,5/13/2024,846.43,Electronics,South
CUST091,5/18/2024,33.04,Clothing,East
CUST144,5/20/2024,816.32,Books,East
CUST105,5/20/2024,289.04,Health,West
CUST040,5/21/2024,126.98,Books,East
CUST061,5/23/2024,699.77,Health,North
CUST042,5/27/2024,632.65,Electronics,West
CUST046,5/27/2024,878.7,Books,North
CUST106,5/28/2024,737.72,Home,South
CUST007,06/01/2024,805.45,Home,East
CUST046,06/03/2024,289.21,Clothing,East
CUST086,06/06/2024,185.67,Home,North
CUST106,06/07/2024,753.11,Clothing,West
CUST064,06/10/2024,808.77,Electronics,West
CUST069,06/11/2024,990.6,Health,East
CUST041,06/11/2024,418.49,Electronics,North
CUST028,06/11/2024,378.3,Health,South
CUST098,6/15/2024,778.65,Health,North
CUST010,6/16/2024,347.4,Clothing,West
CUST121,6/18/2024,931.45,Home,East
CUST057,6/19/2024,859.83,Home,East
CUST052,6/20/2024,434.7,Clothing,East
CUST118,6/21/2024,753.36,Clothing,South
CUST090,6/23/2024,757,Electronics,South
CUST079,6/24/2024,112.09,Clothing,West
CUST059,6/24/2024,903.53,Home,North
CUST058,6/25/2024,510.2,Clothing,North
CUST007,6/25/2024,828.19,Clothing,North
CUST050,6/27/2024,326.85,Health,South
CUST103,07/02/2024,896.57,Clothing,East
CUST085,07/03/2024,395.31,Electronics,West
CUST072,07/06/2024,20.73,Clothing,West
CUST018,07/10/2024,906.33,Books,South
CUST072,07/11/2024,100.37,Books,South
CUST090,07/11/2024,326.12,Health,East
CUST131,07/12/2024,950.56,Health,East
CUST103,7/18/2024,951.1,Books,South
CUST138,7/18/2024,577.7,Health,West
CUST085,7/20/2024,635.52,Health,East
CUST008,7/20/2024,453.96,Home,East
CUST030,7/21/2024,300.28,Home,West
CUST067,7/23/2024,335.38,Clothing,East
CUST046,7/24/2024,675.79,Books,West
CUST149,7/24/2024,754.85,Electronics,North
CUST068,7/24/2024,793.66,Books,East
CUST010,7/30/2024,791.72,Books,East
CUST028,7/30/2024,100.29,Home,North
CUST112,08/02/2024,499.48,Home,West
CUST089,08/03/2024,66.98,Health,East
CUST081,08/03/2024,554.03,Electronics,North
CUST112,08/04/2024,447.12,Home,West
CUST131,08/09/2024,888.83,Health,East
CUST030,08/09/2024,357.41,Electronics,South
CUST099,08/09/2024,125.9,Home,North
CUST148,08/10/2024,151.56,Books,West
CUST049,08/10/2024,763.9,Books,South
CUST066,08/10/2024,622.04,Electronics,West
CUST012,08/12/2024,110.11,Electronics,South
CUST112,8/15/2024,93.27,Home,South
CUST001,8/17/2024,703.96,Home,North
CUST134,8/19/2024,82.04,Electronics,North
CUST138,8/19/2024,823.64,Electronics,South
CUST051,8/20/2024,709.18,Health,North
CUST094,8/20/2024,90.54,Health,West
CUST111,8/21/2024,93.99,Health,East
CUST018,8/21/2024,986.77,Books,West
CUST085,8/25/2024,380.53,Books,South
CUST081,8/26/2024,376.94,Health,West
CUST032,8/27/2024,814.67,Health,South
CUST077,8/27/2024,947.78,Electronics,West
CUST130,8/30/2024,986.14,Books,West
CUST080,09/02/2024,755.84,Health,North
CUST105,09/03/2024,382.5,Clothing,South
CUST084,09/05/2024,92.67,Home,South
CUST104,09/07/2024,779.38,Health,East
CUST076,9/15/2024,562.82,Books,West
CUST142,9/16/2024,429.98,Health,West
CUST033,9/17/2024,907.29,Clothing,East
CUST050,9/18/2024,120.09,Electronics,South
CUST108,9/18/2024,497.7,Books,West
CUST098,9/19/2024,21.24,Electronics,East
CUST045,9/19/2024,473.97,Home,East
CUST146,9/21/2024,65.74,Electronics,East
CUST078,9/25/2024,127.63,Health,West
CUST104,9/26/2024,126.35,Clothing,South
CUST141,9/26/2024,652.72,Electronics,South
CUST001,9/27/2024,748.58,Clothing,East
CUST078,9/29/2024,587.54,Books,East
CUST074,9/30/2024,962.55,Books,South
CUST054,10/02/2024,381.12,Health,East
CUST111,10/02/2024,292.85,Health,East
CUST149,10/04/2024,869.91,Health,South
CUST083,10/04/2024,231.36,Clothing,West
CUST120,10/08/2024,963.59,Home,East
CUST114,10/09/2024,22.03,Home,West
CUST114,10/11/2024,970.18,Home,East
CUST055,10/11/2024,52.73,Books,East
CUST131,10/16/2024,892.23,Books,East
CUST122,10/17/2024,532.42,Home,North
CUST044,10/17/2024,993.04,Health,West
CUST022,10/21/2024,83.06,Electronics,West
CUST073,10/25/2024,558.32,Home,East
CUST132,10/30/2024,969.61,Electronics,South
CUST086,11/02/2024,527.87,Home,East
CUST024,11/05/2024,633.1,Electronics,North
CUST061,11/06/2024,698.79,Health,East
CUST080,11/08/2024,460,Books,North
CUST058,11/19/2024,631.28,Home,East
CUST051,11/24/2024,588.47,Home,West
CUST038,11/26/2024,902.15,Health,East
CUST007,11/27/2024,54.99,Clothing,West
CUST012,11/28/2024,288.15,Home,South
CUST063,12/03/2024,950.91,Electronics,South
CUST122,12/04/2024,891.36,Health,East
CUST019,12/06/2024,461.1,Clothing,East
CUST117,12/10/2024,623.93,Home,South
CUST107,12/13/2024,284.61,Home,North
CUST148,12/23/2024,196.24,Books,South
CUST050,12/23/2024,469.06,Clothing,South
CUST099,12/23/2024,359.82,Health,North
CUST127,12/27/2024,587.82,Electronics,South
CUST103,12/28/2024,86.96,Home,South
CUST063,12/29/2024,974.65,Health,North
CUST038,12/29/2024,986.35,Books,North
